time,X_value,Y_value,Z_value
21.676,8.22669,-6.41518,-1.34841
21.776,7.35499,-6.63311,-1.86599
21.876,7.53205,-6.11554,-1.77065
21.977,7.50481,-6.51053,-1.96133
22.077,7.43671,-6.63311,-2.35632
22.179,7.39585,-6.67397,-2.02943
22.277,7.23240,-6.74207,-2.17926
22.379,7.12344,-6.57863,-2.19288
22.477,7.28689,-7.09620,-2.08391
22.578,6.64673,-6.79655,-1.82513
22.678,6.44242,-7.16430,-1.85237
22.777,6.34708,-7.31413,-1.75702
22.879,7.31413,-7.53205,-1.22583
23.006,8.02238,-7.47757,-0.91256
23.078,7.74998,-7.43671,-1.11687
23.180,7.40947,-7.21878,-1.52548
23.278,7.17792,-7.36861,-2.08391
23.378,6.96000,-6.93276,-1.82513
23.480,6.86466,-7.34137,-2.12477
23.580,6.51053,-7.38223,-1.89323
23.678,6.55139,-7.85894,-1.85237
23.778,6.76931,-7.92704,-1.96133
23.879,6.70121,-7.38223,-1.44376
23.994,6.02019,-7.64102,-0.32689
24.079,6.71483,-7.12344,1.74340
24.178,4.39937,-7.08258,6.79655
24.280,3.54129,-6.87828,5.85675
24.380,3.40509,-6.70121,5.92485
24.480,6.34708,-6.98724,4.99867
24.579,4.56282,-7.54567,5.76141
24.680,3.93628,-7.39585,5.40728
24.779,4.00438,-7.13706,4.94419
24.879,3.90904,-7.70912,5.48900
24.982,3.73198,-7.73636,5.33918
25.082,4.00438,-7.89980,3.93628
25.179,5.09401,-9.13925,5.09401
25.283,5.43452,-9.19374,5.92485
25.380,4.50834,-10.24250,7.12344
25.480,3.94990,-8.24031,6.52415
25.582,0.24517,-4.79436,4.15421
25.682,-0.31327,-2.91475,4.76712
25.796,-1.68892,-4.44023,4.98505
25.880,1.85237,-6.61949,2.01581
25.980,-1.33479,-5.31194,5.63882
26.081,-1.33479,-6.83741,6.08830
26.180,0.27241,-7.20516,6.93276
26.280,1.18497,-6.52415,8.02238
26.381,1.89323,-5.84313,7.10982
26.484,1.90685,-5.82951,6.75569
26.582,2.22012,-5.58434,6.87828
26.686,2.24736,-6.60587,8.47186
26.782,2.43804,-6.96000,7.66826
26.882,3.07820,-6.82379,6.63311
26.982,4.82160,-6.33346,6.44242
27.082,3.25526,-9.38442,5.57072
27.185,4.71264,-8.11773,5.20297
27.287,4.69902,-7.19154,4.88970
27.384,4.78074,-7.16430,4.71264
27.487,4.90333,-7.20516,4.79436
27.584,5.18935,-7.25965,5.03953
27.687,4.99867,-7.31413,4.60368
27.785,5.31194,-7.45033,3.80008
27.885,5.27107,-7.43671,3.81370
27.985,5.21659,-7.46395,3.86818
28.087,5.21659,-7.42309,4.07248
28.185,5.33918,-7.50481,3.58215
28.286,5.02591,-7.66826,3.41871
28.387,5.23021,-7.66826,3.94990
28.487,5.14849,-7.58653,3.80008
28.585,5.29832,-7.54567,3.74560
28.688,5.18935,-7.50481,4.03162
28.785,5.13487,-7.55929,4.01800
28.891,4.99867,-7.50481,4.01800
28.988,5.17573,-7.54567,4.05886
29.089,5.17573,-7.45033,4.05886
29.186,5.14849,-7.45033,4.05886
29.289,5.16211,-7.46395,4.05886
29.387,5.14849,-7.47757,4.05886
29.491,5.23021,-7.40947,4.07248
29.589,5.14849,-7.50481,4.01800
29.691,5.33918,-7.36861,3.89542
29.789,5.25745,-7.50481,3.92266
29.889,5.21659,-7.47757,3.99076
29.992,5.16211,-7.45033,4.01800
30.090,5.25745,-7.45033,4.05886
30.190,5.16211,-7.42309,4.09972
30.290,5.20297,-7.49119,4.03162
30.390,5.18935,-7.43671,4.08610
30.490,5.18935,-7.45033,4.03162
30.590,5.25745,-7.45033,4.07248
30.691,5.12125,-7.57291,4.14059
30.792,5.05315,-7.83170,3.89542
30.891,4.83522,-7.54567,4.29041
30.990,5.21659,-7.17792,4.73988
31.090,5.03953,-7.40947,4.35851
31.191,5.09401,-7.25965,4.41299
31.291,5.09401,-7.34137,4.60368
31.395,4.98505,-7.30051,4.60368
