time,X_value,Y_value,Z_value
21.243,-7.89980,2.05667,-1.18497
21.344,-6.87828,3.32336,0.42223
21.445,-12.02677,3.28250,3.90904
21.543,-9.43890,2.73769,1.96133
21.643,-10.06544,3.36423,2.34270
21.743,-10.26974,2.04305,1.77065
21.847,-9.57510,2.41080,-0.83084
21.944,-10.36508,3.26888,1.03515
22.043,-9.82027,2.65597,1.41652
22.146,-9.19374,2.00219,2.19288
22.244,-9.58873,1.94771,2.99648
22.348,-15.81322,10.11992,-5.96571
22.444,-10.65111,4.78074,-1.64806
22.546,-10.36508,2.28822,-1.40290
22.644,-8.74426,3.77284,0.04086
22.744,-8.53996,3.78646,-0.28603
22.844,-10.54215,3.86818,-1.29393
22.947,-9.19374,2.87389,2.05667
23.078,-9.77941,2.41080,2.32908
23.145,-9.92923,2.34270,2.46528
23.245,-8.63530,2.01581,2.88751
23.345,-8.96219,1.52548,3.06458
23.449,-8.53996,1.25307,2.15201
23.545,-9.87475,-0.05448,6.08830
23.646,-10.14716,0.19068,4.57644
23.748,-8.41737,-0.58567,5.09401
23.846,-6.41518,0.55843,3.84094
23.948,-7.16430,-0.66740,6.18364
24.064,-9.03029,-1.15773,6.48329
24.146,-6.83741,-1.30755,6.31984
24.247,-7.62739,-1.47100,7.70912
24.346,-6.74207,-0.49033,5.51624
24.449,-7.46395,-2.91475,4.76712
24.547,-10.21526,1.11687,6.83741
24.647,-9.31632,-2.13839,4.19507
24.747,-7.87256,-3.77284,4.00438
24.851,-7.76360,-4.01800,1.56634
24.949,-8.71702,-3.52767,2.04305
25.048,-7.02810,-3.89542,0.78998
25.147,-9.00305,-2.42442,2.95562
25.250,-8.60806,-2.95562,2.98286
25.348,-8.34927,-3.33699,3.11906
25.449,-7.10982,-4.76712,3.41871
25.548,-7.89980,-5.21659,2.91475
25.651,-8.10411,-3.69111,4.05886
25.749,-7.72274,-1.70254,4.44023
25.849,-8.34927,-3.02372,4.68540
25.949,-7.35499,-4.00438,3.92266
26.049,-7.15068,-3.51405,4.01800
26.149,-7.49119,-3.78646,4.07248
26.249,-7.85894,-2.47890,4.87608
26.352,-9.07115,-2.56063,3.86818
26.451,-8.63530,-2.94200,3.60939
26.551,-8.28117,-2.90113,4.04524
26.652,-8.62168,-2.50614,3.96352
26.750,-9.12563,-2.28822,4.57644
26.850,-8.43099,-1.83875,4.57644
26.953,-8.63530,-1.85237,4.05886
27.084,-8.45824,-2.23374,3.35061
27.151,-6.79655,-2.95562,3.73198
27.252,-9.39804,-1.86599,8.09049
27.352,-8.30841,-1.28031,5.28470
27.451,-8.66254,-2.50614,3.66387
27.551,-7.89980,-2.41080,3.86818
27.655,-8.93495,-0.78998,4.56282
27.769,-7.47757,-1.53910,3.47319
27.852,-8.79874,-1.03515,3.80008
27.954,-8.66254,-1.32117,3.32336
28.071,-7.50481,-1.60720,1.79789
28.157,-8.63530,-2.76493,3.63663
28.252,-8.58082,-2.47890,3.99076
28.352,-9.57510,-2.34270,3.71835
