time,X_value,Y_value,Z_value
23.457,-9.38442,3.52767,0.76274
23.559,-7.89980,2.15201,2.36994
23.657,-7.05534,4.20869,3.26888
23.757,-6.70121,4.23593,3.82732
23.859,-7.32775,4.38575,4.22231
23.957,-8.81236,3.80008,3.67749
24.058,-8.43099,4.29041,4.22231
24.160,-7.94066,4.80798,3.25526
24.257,-8.00876,4.31765,3.24164
24.358,-8.58082,4.88970,2.39718
24.460,-8.44462,4.90333,2.90113
24.558,-8.34927,4.60368,2.92837
24.659,-7.94066,4.56282,2.69683
24.758,-7.65464,4.64454,2.41080
24.858,-7.85894,4.64454,2.16564
24.961,-8.03601,4.52196,2.69683
25.090,-8.06325,4.71264,2.60149
25.159,-8.04963,4.39937,2.81941
25.261,-7.96790,4.78074,2.49252
25.359,-7.83170,4.34489,2.08391
25.460,-8.24031,4.27679,2.38356
25.560,-9.03029,4.09972,3.20078
25.660,-8.81236,4.01800,2.77855
25.760,-8.33565,4.08610,2.56063
25.861,-8.51272,4.44023,2.81941
25.961,-8.44462,4.18145,2.57425
26.060,-8.21307,4.38575,2.66959
26.161,-8.34927,4.24955,2.79217
26.260,-8.43099,4.24955,2.60149
26.360,-8.43099,4.03162,2.66959
26.460,-8.15859,3.73198,2.92837
26.563,-7.89980,3.93628,2.57425
26.660,-8.18583,3.71835,2.86027
26.766,-8.73064,3.45957,3.36423
26.863,-8.93495,3.62301,4.34489
26.961,-8.67616,3.96352,2.80579
27.063,-8.77150,4.16783,2.66959
27.161,-8.51272,4.05886,2.34270
27.264,-8.74426,4.26317,2.42442
27.364,-8.60806,4.16783,2.34270
27.462,-8.13135,4.03162,2.11115
27.565,-8.34927,4.29041,2.49252
27.662,-8.74426,4.14059,2.80579
27.763,-7.87256,4.04524,2.28822
27.865,-8.26755,4.73988,2.61511
27.966,-7.74998,4.05886,2.92837
28.117,-8.93495,3.88180,3.07820
28.162,-7.66826,3.20078,2.24736
28.265,-7.87256,3.97714,3.71835
28.362,-8.48548,4.01800,3.56853
28.463,-7.84532,4.14059,2.47890
28.562,-8.39013,4.18145,3.03734
28.664,-8.60806,4.79436,3.07820
28.763,-8.48548,4.82160,2.73769
28.863,-8.56720,4.38575,3.89542
28.963,-6.29260,4.34489,2.05667
29.063,-5.66606,5.54348,2.45166
29.163,-7.09620,6.04743,3.52767
29.263,-7.55929,5.38004,4.18145
29.365,-7.24603,4.79436,4.15421
29.467,-7.32775,5.21659,3.97714
29.565,-7.10982,4.93057,3.89542
29.667,-7.31413,4.49471,4.18145
29.765,-7.13706,4.80798,4.46747
29.867,-7.35499,4.67178,3.96352
29.966,-7.28689,4.69902,3.78646
30.067,-7.70912,4.64454,3.80008
30.165,-7.89980,4.69902,3.99076
30.268,-7.81808,4.53558,3.25526
30.366,-7.66826,4.79436,2.88751
30.466,-7.92704,4.79436,3.28250
30.569,-7.76360,4.97143,3.22802
30.667,-7.45033,4.79436,3.40509
30.770,-7.73636,5.06677,2.96924
30.867,-7.89980,5.24383,2.88751
30.968,-7.70912,4.76712,2.80579
31.076,-7.64102,4.73988,3.44595
31.168,-7.69550,4.83522,3.33699
31.271,-7.51843,5.25745,2.96924
31.369,-7.46395,5.24383,3.02372
31.469,-7.68188,5.09401,2.98286
31.571,-7.77722,4.93057,2.98286
31.671,-7.45033,5.61158,2.76493
31.769,-7.38223,5.27107,2.69683
31.871,-7.60015,5.57072,2.76493
31.969,-8.17221,5.28470,2.69683
32.070,-8.04963,4.95781,2.27460
32.169,-7.46395,5.43452,1.70254
32.272,-7.80446,5.01229,2.05667
32.369,-7.92704,4.76712,2.23374
32.471,-8.41737,4.86246,2.36994
32.570,-8.33565,4.86246,2.50614
32.673,-7.76360,5.21659,2.41080
32.770,-8.33565,4.64454,2.71045
32.872,-7.84532,5.33918,1.75702
32.970,-8.74426,5.96571,1.59358
33.071,-8.44462,5.08039,1.63444
33.171,-8.43099,4.48109,1.62082
33.274,-8.88047,4.69902,1.19859
33.371,-8.43099,4.61730,1.63444
33.473,-8.79874,4.71264,1.86599
33.571,-5.93847,4.57644,2.07029
33.672,-8.29479,4.24955,1.93409
33.771,-8.67616,4.53558,1.44376
33.873,-8.10411,4.80798,1.06239
33.971,-8.55358,4.56282,1.23945
34.072,-8.78512,4.63092,1.41652
34.172,-7.96790,4.78074,1.04877
34.273,-8.67616,4.97143,1.06239
34.372,-7.21878,4.84884,0.72188
34.474,-8.89409,4.37213,1.77065
34.572,-8.62168,4.18145,1.44376
34.675,-8.77150,4.60368,1.08963
34.772,-9.80665,4.15421,1.72978
34.874,-9.24822,4.57644,1.41652
34.972,-8.33565,4.99867,1.10325
35.074,-8.58082,4.69902,1.72978
35.173,-9.92923,4.33127,3.15992
35.275,-7.51843,4.83522,1.15773
35.373,-6.83741,5.80227,0.29965
35.476,-8.83961,5.74779,0.88532
35.573,-7.68188,5.92485,1.85237
35.676,-7.57291,5.13487,1.86599
35.773,-7.57291,4.94419,2.68321
35.875,-7.88618,3.77284,2.77855
35.973,-8.21307,4.65816,2.68321
36.075,-8.39013,3.05096,0.25879
36.174,-9.41166,3.86818,0.40861
36.274,-9.34356,4.12697,-1.51186
36.375,-10.77369,3.69111,1.86599
36.474,-8.26755,3.70473,-5.05315
36.576,-7.62739,5.38004,0.24517
36.674,-7.66826,3.63663,-0.77636
36.777,-6.31984,5.29832,3.47319
36.874,-11.89056,6.90552,0.65378
36.975,-9.47976,4.76712,1.93409
37.100,-9.22098,4.56282,0.96704
37.175,-8.41737,5.35280,0.02724
37.276,-8.70340,5.39366,-0.28603
37.377,-11.27765,5.18935,0.55843
37.475,-9.57510,4.09972,0.40861
37.576,-9.19374,4.48109,0.80360
37.675,-8.37651,4.73988,3.32336
37.775,-10.66473,3.35061,4.49471
37.875,-3.36423,6.44242,1.47100
37.977,-5.57072,5.65244,3.09182
38.102,-12.91209,4.86246,1.03515
38.175,-8.70340,5.25745,2.26098
38.277,-8.33565,3.89542,-0.81722
38.376,-8.40375,5.06677,1.96133
38.476,-8.34927,6.46967,1.08963
38.577,-10.05182,7.88618,3.05096
38.708,-12.47624,5.47538,1.08963
38.776,-4.71264,0.64016,-0.21793
38.879,-7.99514,0.36775,0.29965
38.979,-9.15287,0.49033,0.92618
39.078,-7.98152,-0.35413,1.82513
39.177,-7.85894,2.08391,0.14982
39.279,-6.14278,4.09972,-2.23374
39.377,-8.52634,4.64454,1.02153
39.478,-8.14497,5.65244,1.51186
39.578,-7.95428,4.98505,1.77065
39.677,-7.66826,4.24955,1.08963
39.778,-8.78512,4.11335,0.23155
39.879,-8.25393,4.67178,3.32336
39.977,-7.96790,6.63311,-0.92618
40.077,-6.15640,6.96000,-0.01362
40.177,-7.24603,7.36861,-0.25879
40.278,-7.83170,6.11554,-0.84446
40.380,-7.04172,6.96000,0.64016
40.479,-7.45033,6.48329,0.59930
40.578,-7.28689,6.12916,0.34051
40.680,-6.55139,6.76931,1.62082
40.778,-7.95428,5.06677,1.57996
40.883,-9.38442,2.15201,1.11687
40.978,-15.21393,10.31060,-6.79655
41.079,-8.67616,11.30489,2.58787
41.178,-5.21659,6.63311,0.05448
41.281,-5.21659,8.28117,0.76274
41.378,-13.34794,8.47186,2.83303
41.478,-6.79655,6.45604,0.54481
41.578,-6.33346,7.99514,-2.08391
41.679,-7.50481,6.76931,1.08963
41.781,-7.40947,6.94638,-0.24517
41.879,-9.28908,5.42090,0.27241
41.979,-9.67045,3.36423,1.72978
42.103,-8.09049,8.36289,1.06239
42.179,-7.16430,7.20516,1.92047
42.281,-5.43452,6.86466,1.49824
42.395,-5.51624,5.84313,0.88532
42.479,-10.39233,5.70693,2.24736
42.581,-5.87037,7.66826,0.76274
42.679,-5.44814,8.55358,0.02724
42.780,-8.07687,7.01448,-0.16344
42.879,-7.10982,5.85675,1.47100
42.981,-8.96219,4.86246,-0.04086
43.111,-9.24822,1.45738,2.39718
43.180,-5.99295,10.59663,3.06458
43.281,-5.73417,8.32203,2.02943
43.380,-3.96352,6.98724,2.02943
43.480,-6.46967,7.45033,-0.34051
43.582,-7.58653,5.14849,1.79789
43.683,-7.66826,7.40947,0.95342
43.781,-6.41518,7.21878,-2.17926
43.883,-6.60587,7.43671,-2.17926
43.981,-6.94638,7.15068,-0.92618
44.081,-6.93276,7.16430,-0.83084
44.181,-9.27546,5.35280,-0.77636
44.283,-8.34927,3.35061,0.28603
44.381,-9.43890,9.05753,2.62873
44.483,-7.28689,9.09839,1.86599
44.582,-6.02019,7.46395,-1.34841
44.685,-5.47538,5.39366,-1.34841
44.783,-10.73283,3.11906,-0.80360
44.882,-7.83170,7.99514,0.72188
44.984,-5.93847,7.02810,-1.92047
45.107,-5.36642,8.11773,-1.22583
45.183,-7.58653,6.96000,-0.38137
45.283,-7.49119,5.99295,-0.54481
45.384,-7.21878,6.83741,0.01362
45.483,-7.83170,7.17792,-0.28603
45.583,-6.96000,5.99295,-0.51757
45.685,-6.49691,6.18364,0.78998
45.783,-7.24603,8.55358,0.49033
45.885,-6.93276,6.06105,0.81722
45.983,-4.91695,7.45033,-0.43585
46.085,-11.25041,4.29041,1.10325
46.187,-8.70340,5.38004,-1.38928
46.285,-6.19726,8.60806,0.35413
46.387,-5.24383,7.91342,1.03515
46.485,-7.21878,7.05534,-0.70826
46.586,-7.32775,6.79655,-0.35413
46.685,-7.47757,6.83741,0.55843
46.787,-8.21307,6.25174,0.09534
46.889,-6.29260,6.94638,-0.05448
46.987,-5.81589,6.64673,0.40861
47.087,-9.57510,8.09049,-1.22583
47.187,-5.18935,8.79874,2.01581
47.287,-3.97714,6.91914,0.73550
47.387,-8.32203,6.45604,-0.57205
47.491,-7.13706,6.06105,0.68102
47.595,-6.96000,7.60015,-0.51757
47.687,-6.02019,7.49119,-0.35413
47.789,-7.04172,6.66035,-0.12258
47.887,-7.12344,7.06896,-0.14982
47.988,-7.38223,6.93276,0.49033
48.087,-7.46395,6.51053,0.04086
48.190,-6.63311,7.40947,-0.31327
48.288,-6.85104,8.25393,0.14982
48.390,-6.14278,7.19154,-0.04086
48.488,-7.83170,5.21659,-0.04086
48.588,-5.82951,7.49119,0.23155
48.691,-7.20516,7.89980,-0.53119
48.790,-6.83741,6.45604,0.19068
48.890,-7.08258,6.79655,-0.78998
48.990,-6.98724,6.97362,-0.43585
49.107,-6.67397,7.34137,0.64016
49.193,-6.79655,6.94638,0.23155
49.289,-7.05534,6.86466,-0.23155
49.393,-6.76931,7.19154,0.02724
49.490,-6.71483,7.19154,0.12258
49.592,-7.00086,6.93276,0.02724
49.691,-6.83741,7.15068,0.19068
49.790,-6.86466,7.15068,-0.05448
49.901,-6.98724,6.98724,-0.05448
49.990,-6.78293,7.24603,0.05448
50.091,-6.96000,7.05534,-0.02724
50.193,-6.76931,7.20516,0.10896
50.290,-6.86466,7.04172,0.04086
50.391,-6.74207,7.15068,-0.01362
50.491,-6.87828,7.12344,0.06810
50.591,-6.85104,7.06896,0.01362
50.691,-6.79655,7.04172,-0.09534
50.793,-6.83741,7.24603,0.09534
50.891,-7.02810,6.86466,-0.02724
50.994,-6.81017,7.13706,-0.17706
51.091,-6.70121,7.25965,0.21793
51.193,-6.91914,7.04172,-0.02724
51.291,-6.74207,7.31413,-0.19068
51.393,-6.89190,7.10982,0.43585
51.492,-7.20516,6.29260,-0.64016
51.591,-6.96000,7.45033,-0.05448
51.692,-5.82951,7.94066,0.49033
51.794,-7.13706,6.89190,-0.83084
51.892,-7.40947,6.59225,-0.16344
51.994,-6.48329,7.64102,0.35413
52.092,-6.72845,7.31413,-0.27241
52.192,-7.10982,6.79655,-0.31327
52.295,-6.79655,7.09620,-0.20431
52.394,-6.98724,7.19154,-0.54481
52.492,-8.18583,6.15640,-0.29965
52.594,-8.25393,5.70693,-0.16344
52.692,-7.40947,6.93276,-1.60720
52.792,-6.40156,8.09049,-0.61292
52.896,-7.24603,6.53777,1.36203
52.994,-7.85894,6.10192,0.40861
53.093,-7.54567,6.02019,2.08391
53.193,-7.32775,5.38004,0.92618
53.293,-8.40375,6.41518,0.68102
53.393,-8.44462,5.50262,3.03734
53.494,-7.13706,6.34708,-0.19068
53.593,-6.67397,7.40947,0.83084
53.693,-7.73636,6.07468,2.08391
53.793,-6.52415,7.23240,1.10325
53.897,-7.23240,7.12344,0.73550
53.993,-7.61377,6.15640,0.85808
54.094,-6.44242,7.89980,0.96704
54.194,-6.49691,7.25965,0.06810
54.293,-7.02810,6.82379,0.58567
54.394,-6.18364,7.76360,0.89894
54.494,-6.17002,7.12344,0.73550
54.595,-6.64673,7.20516,0.76274
54.694,-6.48329,7.57291,0.81722
54.796,-6.57863,7.24603,0.96704
54.894,-6.45604,7.38223,0.80360
54.996,-6.51053,7.38223,0.83084
55.099,-6.60587,7.27327,0.80360
55.196,-6.55139,7.38223,0.93980
55.294,-6.44242,7.36861,0.66740
55.397,-6.56501,7.24603,0.64016
55.495,-6.64673,7.36861,0.74912
55.595,-6.48329,7.36861,0.81722
55.695,-6.64673,7.31413,0.80360
55.797,-6.63311,7.19154,0.70826
55.895,-6.63311,7.27327,0.77636
55.997,-6.61949,7.31413,0.78998
56.122,-6.59225,7.35499,0.66740
56.195,-6.63311,7.25965,0.66740
56.298,-6.61949,7.25965,0.72188
56.395,-6.57863,7.28689,0.73550
56.496,-6.56501,7.38223,0.72188
56.609,-6.63311,7.20516,0.64016
56.696,-6.53777,7.28689,0.78998
56.798,-6.53777,7.27327,0.66740
56.896,-6.64673,7.21878,0.72188
56.997,-6.59225,7.35499,0.66740
57.113,-6.60587,7.28689,0.66740
57.197,-6.55139,7.31413,0.64016
57.296,-6.70121,7.21878,0.77636
57.399,-6.60587,7.30051,0.66740
57.497,-6.55139,7.35499,0.73550
57.599,-6.64673,7.21878,0.65378
57.705,-6.57863,7.30051,0.85808
57.797,-6.66035,7.28689,0.74912
57.898,-6.61949,7.28689,0.66740
57.997,-6.63311,7.21878,0.58567
58.097,-6.67397,7.27327,0.66740
58.198,-6.67397,7.21878,0.64016
58.300,-6.57863,7.31413,0.64016
58.398,-6.70121,7.19154,0.72188
58.498,-6.59225,7.27327,0.59930
58.598,-6.67397,7.21878,0.69464
58.701,-6.70121,7.19154,0.62654
58.813,-6.51053,7.38223,0.66740
58.898,-6.76931,7.19154,0.80360
59.000,-6.98724,6.89190,0.58567
59.115,-6.70121,7.30051,0.72188
59.198,-6.76931,6.93276,0.43585
59.298,-7.09620,7.15068,1.07601
59.399,-6.93276,6.91914,1.04877
59.501,-6.48329,7.21878,0.54481
59.599,-6.46967,7.50481,0.81722
59.700,-6.76931,7.30051,-0.09534
59.799,-7.45033,6.25174,0.09534
59.901,-7.73636,6.37432,-0.87170
59.999,-6.23812,8.59444,-2.31546
60.099,-5.57072,8.66254,-0.80360
60.201,-7.15068,7.27327,-0.74912
60.299,-6.82379,7.19154,-0.54481
60.402,-8.78512,6.68759,-0.83084
60.500,-7.65464,4.95781,0.83084
60.601,-6.76931,5.55710,-1.96133
60.701,-7.66826,5.89761,-0.59930
60.805,-8.89409,4.67178,-0.27241
60.904,-8.53996,4.93057,-0.01362
61.005,-8.15859,5.28470,-1.28031
61.148,-7.99514,5.57072,-0.38137
61.204,-8.37651,6.30622,-1.29393
61.304,-7.65464,5.51624,-1.75702
61.406,-7.99514,5.21659,-1.62082
61.504,-8.32203,5.24383,-0.80360
61.605,-8.15859,5.87037,-0.10896
61.706,-7.81808,5.92485,-0.76274
61.805,-7.09620,5.99295,-1.34841
61.906,-8.15859,5.28470,-0.70826
62.004,-7.89980,5.66606,-0.61292
62.104,-7.64102,6.14278,-0.64016
62.204,-7.39585,6.40156,-0.31327
62.305,-7.60015,5.99295,-0.02724
62.407,-7.12344,6.36070,0.02724
62.507,-7.80446,6.25174,-0.47671
62.605,-7.99514,5.65244,-0.70826
62.706,-7.85894,6.17002,-0.76274
62.805,-8.06325,5.66606,-0.64016
62.909,-7.65464,6.12916,-0.57205
63.005,-7.83170,6.03381,-0.55843
63.106,-7.99514,5.57072,0.09534
63.207,-7.53205,6.42880,-0.70826
63.309,-7.70912,6.31984,-0.40861
63.406,-8.06325,5.58434,-0.01362
63.506,-7.69550,6.07468,-0.05448
63.608,-7.35499,6.51053,-0.77636
63.706,-8.13135,5.72055,-0.09534
63.806,-8.28117,5.35280,-0.47671
63.907,-7.65464,6.25174,-0.35413
64.008,-7.55929,6.29260,-0.25879
64.129,-7.83170,5.92485,-0.29965
64.206,-7.89980,5.91123,-0.43585
64.307,-7.80446,6.04743,-0.43585
64.406,-7.73636,6.07468,-0.51757
64.508,-7.76360,6.06105,-0.44947
64.610,-7.88618,5.92485,-0.51757
64.707,-7.91342,5.80227,-0.47671
64.808,-7.85894,6.03381,-0.55843
64.907,-7.83170,6.00657,-0.39499
65.008,-7.70912,6.15640,-0.47671
65.109,-7.70912,6.12916,-0.35413
65.207,-7.66826,6.18364,-0.42223
65.307,-7.85894,6.02019,-0.51757
65.407,-7.88618,5.91123,-0.50395
65.507,-7.74998,6.10192,-0.53119
65.612,-7.77722,6.06105,-0.46309
65.709,-7.80446,6.08830,-0.49033
65.807,-7.79084,6.02019,-0.43585
65.908,-7.80446,6.02019,-0.50395
66.010,-7.77722,6.08830,-0.50395
66.116,-7.87256,5.93847,-0.46309
66.208,-7.73636,6.04743,-0.57205
66.313,-7.65464,6.14278,-0.32689
66.411,-7.74998,5.99295,-0.14982
66.513,-7.66826,6.22450,-0.47671
66.611,-7.76360,6.06105,-0.40861
66.711,-7.85894,5.92485,-0.43585
66.812,-7.79084,6.10192,-0.57205
66.914,-7.80446,5.97933,-0.43585
67.011,-7.70912,6.15640,-0.46309
67.114,-7.76360,6.02019,-0.36775
67.214,-7.73636,6.12916,-0.40861
67.313,-7.76360,6.08830,-0.44947
67.415,-7.72274,6.12916,-0.47671
67.513,-7.74998,5.99295,-0.39499
67.615,-7.77722,5.99295,-0.34051
67.715,-7.80446,6.02019,-0.42223
67.814,-7.76360,6.07468,-0.39499
67.918,-7.73636,6.03381,-0.39499
68.017,-7.66826,6.10192,-0.49033
68.117,-7.94066,5.80227,-0.34051
68.216,-7.70912,6.12916,-0.50395
