time,X_value,Y_value,Z_value
31.789,8.30841,-4.57644,3.11906
31.891,8.29479,-4.50834,3.09182
31.995,8.18583,-4.56282,3.54129
32.089,8.09049,-4.37213,3.18716
32.192,8.21307,-4.44023,3.37785
32.290,8.37651,-4.60368,3.14630
32.389,8.10411,-4.57644,3.33699
32.493,7.99514,-4.67178,3.45957
32.590,8.58082,-4.49471,3.43233
32.693,8.21307,-4.64454,3.32336
32.790,8.36289,-4.31765,1.60720
32.892,8.51272,-4.44023,2.57425
32.998,9.19374,-4.95781,2.99648
33.090,8.88047,-4.18145,2.69683
33.190,8.21307,-4.31765,3.13268
33.294,8.32203,-4.41299,3.01010
33.390,8.21307,-4.44023,2.80579
33.491,8.39013,-4.39937,2.99648
33.590,8.32203,-4.59006,3.02372
33.690,8.29479,-4.48109,2.99648
33.794,8.37651,-4.29041,3.18716
33.891,8.44462,-4.18145,3.21440
33.991,8.67616,-4.18145,3.11906
34.091,8.14497,-4.44023,3.56853
34.191,8.51272,-4.34489,3.20078
34.293,8.11773,-4.41299,3.18716
34.393,8.97581,-4.99867,4.63092
34.491,8.51272,-4.26317,3.29612
34.593,8.44462,-4.34489,3.10544
34.692,8.58082,-4.15421,2.64235
34.795,8.56720,-4.29041,2.66959
34.891,8.48548,-4.22231,2.56063
34.991,8.47186,-4.30403,2.69683
35.091,8.55358,-4.23593,2.80579
35.191,8.60806,-4.22231,2.41080
35.291,8.63530,-4.29041,2.45166
35.394,8.75788,-4.12697,2.51976
35.493,8.79874,-4.22231,2.24736
35.593,8.63530,-4.03162,2.43804
35.692,8.60806,-4.15421,2.41080
35.793,8.51272,-3.73198,2.66959
35.894,8.58082,-3.89542,2.73769
35.993,8.63530,-4.04524,2.60149
36.093,8.58082,-3.97714,2.76493
36.194,8.53996,-4.00438,2.72407
36.293,8.49910,-4.05886,2.80579
36.395,9.00305,-3.88180,3.24164
36.493,8.34927,-3.70473,2.95562
36.594,8.59444,-4.08610,3.02372
36.693,8.71702,-4.12697,2.83303
36.793,8.73064,-3.99076,2.69683
36.895,8.59444,-3.97714,3.01010
36.993,8.70340,-3.89542,2.91475
37.093,8.79874,-4.05886,2.83303
37.195,9.75217,-3.96352,3.03734
37.294,9.20736,-4.15421,2.73769
37.394,9.20736,-3.70473,2.41080
37.497,8.59444,-3.89542,2.41080
37.594,8.58082,-4.39937,2.08391
37.694,8.82598,-3.65025,2.42442
37.794,8.44462,-4.45385,1.67530
37.895,8.82598,-4.53558,1.41652
38.004,9.12563,-3.96352,1.37566
38.104,9.19374,-3.96352,1.06239
38.194,9.28908,-3.60939,0.34051
38.295,9.12563,-3.56853,-0.38137
38.395,9.23460,-3.66387,-1.41652
38.495,9.43890,-1.82513,-1.82513
38.595,9.27546,-2.17926,-1.86599
38.700,9.61597,-2.15201,-2.23374
38.797,9.75217,-2.31546,-2.24736
38.899,9.43890,-2.07029,-2.31546
38.997,9.43890,-2.35632,-1.85237
39.097,9.41166,-2.68321,-1.86599
39.199,9.49338,-2.76493,-1.74340
39.302,9.50700,-2.61511,-1.72978
39.398,9.43890,-2.56063,-1.70254
39.501,9.47976,-2.60149,-1.47100
39.600,9.52062,-2.58787,-1.90685
39.699,9.38442,-2.53338,-1.90685
39.799,9.41166,-2.47890,-1.72978
39.899,9.57510,-2.41080,-1.83875
39.999,9.50700,-2.35632,-1.98857
40.102,9.35718,-2.45166,-1.89323
40.200,9.50700,-2.36994,-1.81151
40.301,9.45252,-2.38356,-1.68892
40.400,9.41166,-2.38356,-1.52548
40.502,9.53424,-2.47890,-1.55272
40.600,9.60235,-2.28822,-1.55272
40.703,9.57510,-2.24736,-1.52548
40.800,9.58873,-2.30184,-1.36203
40.905,9.50700,-2.32908,-1.40290
41.007,9.46614,-2.34270,-1.30755
41.100,9.57510,-2.49252,-1.28031
41.201,9.58873,-2.58787,-1.00791
41.301,9.49338,-2.50614,-1.34841
41.404,9.50700,-2.50614,-1.32117
41.501,9.60235,-2.49252,-1.33479
41.601,9.57510,-2.56063,-1.33479
41.701,9.43890,-2.35632,-1.57996
41.801,9.58873,-2.28822,-1.93409
41.903,9.42528,-2.27460,-2.24736
42.001,9.43890,-2.34270,-2.26098
42.113,9.45252,-2.31546,-2.11115
42.206,9.56148,-2.27460,-2.02943
42.302,9.47976,-2.24736,-2.00219
42.404,9.52062,-2.35632,-1.79789
42.502,9.45252,-2.34270,-1.79789
42.604,9.50700,-2.34270,-1.67530
