time,X_value,Y_value,Z_value
29.056,-5.10763,-0.89894,-8.47186
29.158,-5.14849,-0.81722,-8.34927
29.255,-5.06677,-0.85808,-8.41737
29.357,-5.13487,-0.84446,-8.41737
29.455,-5.13487,-0.83084,-8.40375
29.555,-5.12125,-0.89894,-8.51272
29.656,-5.09401,-0.85808,-8.52634
29.755,-5.12125,-0.85808,-8.43099
29.858,-5.21659,-0.96704,-8.36289
29.955,-4.98505,-0.87170,-8.40375
30.056,-5.12125,-0.80360,-8.47186
30.157,-5.09401,-0.89894,-8.43099
30.255,-5.02591,-0.89894,-8.36289
30.356,-4.94419,-0.89894,-8.37651
30.455,-4.91695,-1.63444,-8.92133
30.556,-5.06677,-0.76274,-8.28117
30.658,-4.86246,-1.11687,-8.40375
30.756,-5.02591,-0.85808,-8.48548
30.858,-4.94419,-0.72188,-8.67616
30.956,-5.09401,-0.78998,-8.59444
31.056,-4.99867,-1.04877,-8.56720
31.156,-5.01229,-0.93980,-8.44462
31.258,-5.01229,-0.89894,-8.41737
31.356,-4.95781,-0.93980,-8.43099
31.459,-5.06677,-1.02153,-8.44462
31.556,-5.14849,-1.06239,-8.52634
31.656,-4.99867,-0.85808,-8.34927
31.757,-5.05315,-0.96704,-8.44462
31.859,-4.91695,-0.98067,-8.34927
31.959,-5.01229,-1.07601,-8.32203
32.058,-5.06677,-1.10325,-8.44462
32.159,-5.13487,-0.84446,-8.44462
32.257,-5.23021,-0.44947,-8.71702
32.357,-5.09401,-1.17135,-8.39013
32.458,-5.09401,-1.11687,-8.52634
32.557,-5.02591,-1.02153,-8.34927
32.658,-3.99076,-0.93980,-8.33565
32.759,-5.01229,-1.30755,-8.60806
32.858,-4.90333,-1.75702,-8.63530
32.960,-4.84884,-1.44376,-8.49910
33.058,-4.67178,-1.48462,-8.45824
33.159,-4.71264,-1.59358,-8.52634
33.258,-4.65816,-1.52548,-8.47186
33.361,-4.90333,-1.60720,-8.55358
33.464,-4.93057,-1.18497,-8.77150
33.558,-4.71264,-1.21221,-8.18583
33.661,-4.91695,-1.11687,-8.41737
33.759,-4.95781,-1.06239,-8.43099
33.859,-4.97143,-1.13049,-8.39013
33.958,-5.03953,-1.18497,-8.47186
34.062,-4.94419,-1.06239,-8.47186
34.160,-5.03953,-1.06239,-8.48548
34.262,-4.99867,-1.02153,-8.37651
34.361,-4.95781,-1.00791,-8.45824
34.460,-5.03953,-0.99429,-8.45824
34.561,-5.05315,-1.02153,-8.48548
34.661,-4.98505,-1.03515,-8.41737
34.764,-5.09401,-1.06239,-8.48548
34.861,-4.86246,-0.96704,-8.63530
34.963,-5.01229,-1.02153,-8.53996
35.082,-4.99867,-0.96704,-8.58082
35.161,-5.02591,-0.92618,-8.41737
35.262,-4.97143,-0.85808,-8.48548
35.361,-5.03953,-0.88532,-8.49910
35.462,-5.18935,-0.92618,-8.47186
35.564,-5.14849,-1.15773,-7.89980
35.662,-4.86246,-1.06239,-8.34927
35.764,-5.48900,-1.25307,-8.92133
35.862,-4.84884,-1.07601,-8.45824
35.963,-4.76712,-1.03515,-8.43099
36.074,-4.75350,-1.22583,-8.44462
36.162,-4.93057,-1.25307,-8.59444
36.262,-4.83522,-1.28031,-8.59444
36.365,-5.03953,-1.37566,-8.37651
36.463,-5.24383,-1.47100,-8.47186
36.562,-5.02591,-1.18497,-8.45824
36.663,-5.17573,-1.14411,-8.41737
36.763,-6.37432,-0.54481,-9.49338
36.865,-6.31984,-0.72188,-9.04391
36.963,-5.65244,-0.55843,-7.89980
37.064,-6.33346,-0.53119,-7.85894
37.163,-5.96571,-0.51757,-7.60015
37.263,-5.72055,-0.46309,-7.88618
37.363,-5.87037,-0.44947,-7.79084
37.466,-5.89761,-0.39499,-8.15859
37.563,-5.76141,-0.47671,-8.03601
37.665,-6.12916,-0.74912,-7.42309
37.763,-6.11554,-0.72188,-7.50481
37.864,-6.06105,-0.64016,-7.34137
37.964,-6.31984,-0.61292,-7.72274
38.064,-6.04743,-0.51757,-7.60015
38.166,-6.30622,-0.51757,-7.51843
38.264,-6.44242,-0.43585,-7.50481
38.365,-5.66606,-0.80360,-7.21878
38.466,-6.08830,-0.81722,-7.92704
38.564,-6.30622,-0.39499,-7.80446
38.664,-5.96571,-0.62654,-7.81808
38.765,-6.34708,-0.54481,-7.28689
38.864,-6.11554,-0.13620,-6.86466
38.967,-6.55139,-0.76274,-7.09620
39.092,-6.70121,-0.95342,-7.19154
39.165,-6.25174,-0.59930,-7.24603
39.267,-6.52415,-0.70826,-7.49119
39.365,-6.34708,-0.72188,-7.31413
39.465,-6.21088,-0.62654,-7.66826
39.565,-5.80227,-1.15773,-7.55929
39.667,-6.15640,-0.76274,-6.33346
39.767,-5.47538,-0.88532,-7.66826
39.868,-6.79655,-0.88532,-7.34137
39.966,-6.02019,-0.54481,-7.57291
40.066,-5.82951,-0.73550,-7.70912
40.166,-6.06105,-1.18497,-7.57291
40.266,-5.82951,-0.81722,-7.51843
40.369,-5.61158,-0.95342,-7.70912
40.471,-6.21088,-0.68102,-7.83170
40.568,-5.91123,-0.77636,-7.85894
40.670,-6.08830,-0.73550,-7.72274
40.768,-6.27898,-0.88532,-7.80446
40.868,-5.99295,-1.02153,-7.69550
40.969,-6.02019,-0.72188,-7.84532
41.070,-5.96571,-0.76274,-7.70912
41.170,-5.96571,-0.81722,-7.77722
41.269,-5.88399,-0.77636,-7.85894
41.370,-6.08830,-0.80360,-7.76360
41.469,-6.08830,-0.70826,-7.74998
41.570,-6.06105,-0.89894,-7.91342
41.669,-5.96571,-0.78998,-7.99514
41.772,-5.88399,-0.80360,-7.64102
41.869,-5.99295,-0.78998,-7.74998
41.971,-6.04743,-0.78998,-7.80446
42.089,-6.00657,-0.85808,-7.77722
42.169,-5.95209,-0.83084,-7.80446
42.270,-5.38004,-0.68102,-8.51272
42.369,-5.69331,-0.62654,-7.40947
42.470,-5.06677,0.92618,-7.69550
42.572,-7.20516,-1.17135,-6.25174
42.670,-3.75922,-0.84446,-6.34708
42.772,-5.05315,-0.95342,-7.73636
42.870,-5.81589,0.01362,-5.63882
42.971,-7.00086,-1.64806,-6.48329
43.082,-5.76141,-0.28603,-8.04963
43.170,-5.89761,-0.44947,-7.83170
43.271,-6.61949,-0.91256,-7.31413
